video_path,text,vq_score,t2v_score,pc_score,ratio801_seed123_split_00
videos_27k_1/004882_h.mp4,"Trevor, a 17-year-old introvert with a sketchbook under his arm, navigates the high school hallway, surrounded by a river of students. Their laughter and chatter echo as he moves through the crowd, an enigmatic observer",4,2,1,test
videos_27k_1/001033_p.mp4,"The race starts with a swift and energetic rabbit named Robbie dashing ahead, leaving a slow but determined turtle named Timmy behind in a lush and sprawling meadow with swaying wildflowers and tall grass",3,2,3,train
videos_27k_5/002314_j.mp4,"Cartoonizing a group of people approaching a fight scene, holding swords, with their mouths open shouting to go to fight in an open field with their opponent",1,1,1,train
videos_27k_1/002706_d.mp4,"An explainer video of a barge having problems with its propeller due to tangled ropes, with people pulling these ropes out to fix the problem",2,1,2,test
videos_27k_1/001123_h.mp4,"A wheel of fortune with 8 slices on a poker table spinning, then getting minimized, and a big golden number popping up in its place",3,3,1,train
videos_27k_1/003002_a.mp4,"A close-up of a modern red brick building with large glass windows and a prominent 'Service Canada' sign. The metal sign, displaying 'Service' on the left and 'Canada' on the right, is boldly centered on the building's facade. The reflection of the clear blue sky is visible on the glass windows, highlighting a sunny day. The camera is stationary, slightly tilted upwards to capture both the sign and the upper part of the building",4,3,4,train
videos_27k_1/004022_h.mp4,"A powerful and authoritative king seated on a high throne, gazing down with a commanding presence. He has a dignified, moderately long beard. Crane down",3,3,3,test
videos_27k_1/001562_d.mp4,"A quaint and picturesque town of Windyville with cobblestone streets and cozy cottages. The sun is rising, casting a warm, golden glow",1,3,1,train
videos_27k_1/000187_q.mp4,"An abandoned cityscape of Pripyat near the Chernobyl Nuclear Power Plant. Buildings stand in various states of decay, windows shattered, and vegetation reclaiming the urban environment. Pan right",3,4,4,train
videos_27k_1/003950_u.mp4,"A chef in a white coat with a black apron is preparing a dish in a bright kitchen, while a woman in a pink dress with red accents assists by adding ingredients and mixing. They are focused on their task, with the chef explaining the process. The cozy, rustic kitchen is filled with greenery and natural light coming through a large window. Cooking utensils and ingredients are neatly arranged, creating an inviting and warm atmosphere. The camera captures both subjects from a stable, medium shot angle",4,3,4,train
